,,,,,,,,,
,@chezweinz2,Rory McIlroy,Justin Rose,Jordan Spieth,Xander Schauffele,Kevin Kisner,Adam Scott,Branden Grace,Gary Woodland
,Gold Jacket Green Jacket,Charley Hoffman,Matt Kuchar,Jordan Spieth,Justin Thomas,Louis Oosthuizen,Justin Rose,Kevin Kisner,Tony Finau
,Durantula's 19th Hole,Jordan Spieth,Dustin Johnson,Justin Rose,Tony Finau,Thomas Pieters,Kevin Kisner,Louis Oosthuizen,Matt Kuchar
,Masters of None,Sergio Garcia,Justin Rose,Dustin Johnson,Marc Leishman,Matt Kuchar,Louis Oosthuizen,Ian Poulter,Xander Schauffele
,Pauker1,Bubba Watson,Rickie Fowler,Justin Thomas,Brian Harman,Rafael Cabrera Bello,Patton Kizzire,Marc Leishman,Kevin Chappell
,Clean my Balls with Liberal Tears,Dustin Johnson,Tiger Woods,Justin Rose,Tony Finau,Patrick Cantlay,Louis Oosthuizen,Adam Scott,Thomas Pieters
,MC Tiger,Matt Kuchar,Jordan Spieth,Dustin Johnson,Jason Day,Xander Schauffele,Thomas Pieters,Marc Leishman,Zach Johnson
,Hardy 1,Justin Rose,Dustin Johnson,Jordan Spieth,Adam Scott,Matt Kuchar,Kevin Chappell,Russell Henley,Tony Finau
,Pauker2,Dustin Johnson,Rory McIlroy,Phil Mickelson,Bryson DeChambeau,Tony Finau,Pat Perez,Adam Hadwin,Matt Kuchar
,Hardy 2,Justin Thomas,Tiger Woods,Rory McIlroy,Daniel Berger,Louis Oosthuizen,Bryson DeChambeau,Kevin Kisner,Xander Schauffele
,Pauker3,Jason Day,Sergio Garcia,Jordan Spieth,Patrick Reed,Cameron Smith,Webb Simpson,Patton Kizzire,Patrick Cantlay
,Sterm's Worm Returns,Hideki Matsuyama,Justin Thomas,Dustin Johnson,Ian Poulter,Angel Cabrera,Joaquin Niemann,Adam Scott,Thomas Pieters
,Black,Justin Rose,Paul Casey,Tiger Woods,Doc Redman,Fred Couples,Ian Poulter,Jason Dufner,Adam Scott
,Dom DiPi ,Tony Finau,Rickie Fowler,Jordan Spieth,Rory McIlroy,Patrick Reed,Danny Willett,Bryson DeChambeau,Matt Kuchar
,RG OB,Tiger Woods,Rory McIlroy,Justin Rose,Matt Kuchar,Charley Hoffman,Bryson DeChambeau,Charl Schwartzel,Wesley Bryan
,Beaudet Squad,Daniel Berger,Branden Grace,Thomas Pieters,Jon Rahm,Jordan Spieth,Xander Schauffele,Justin Thomas,Gary Woodland
,Jack Hayden,Paul Casey,Justin Thomas,Bubba Watson,Patrick Reed,Matt Kuchar,Adam Scott,Ian Poulter,Shubhankar Sharma
,Jack Hayden (2),Rory McIlroy,Justin Thomas,Sergio Garcia,Rafael Cabrera Bello,Patrick Reed,Brian Harman,Patrick Cantlay,Tony Finau
,killie,Justin Rose,Phil Mickelson,Jordan Spieth,Bryson DeChambeau,Patrick Cantlay,Rafael Cabrera Bello,Patton Kizzire,Matt Kuchar
,Pritchard - 2,Tiger Woods,Patrick Reed,Rory McIlroy,Brian Harman,Tyrrell Hatton,Thomas Pieters,Alex Noren,Austin Cook
